ஒன்றில்	ஒன்று
இரண்டில்	இரண்டு
மூன்றில்	மூன்று
நான்கில்	நான்கு
ஐந்தில்	ஐந்து
ஆறில்	ஆறு
ஏழில்	ஏழு
எட்டில்	எட்டு
ஒன்பதில்	ஒன்பது
பத்தில்	பத்து
பதினொன்றில்	பதினொன்று
பன்னிரண்டில்	பன்னிரண்டு
இருபதில்	இருபது
முப்பதில்	முப்பது
நாற்பதில்	நாற்பது
ஐம்பதில்	ஐம்பது
அறுபதில்	அறுபது
எழுபதில்	எழுபது
எண்பதில்	எண்பது
தொண்ணூறில்	தொண்ணூறு
நூறில்	நூறு
பதின்மூன்றில்	பதின்மூன்று
பதினான்கில்	பதினான்கு
பதினைந்தில்	பதினைந்து
பதினாறில்	பதினாறு
பதினேழில்	பதினேழு
பதினெட்டில்	பதினெட்டு
பத்தொன்பதில்	பத்தொன்பது
