.com	punto com
.org	punto org
.gov	punto gov
.it	punto IT
.uk	punto UK
.fr	punto FR
.de	punto DE
.ru	punto RU
.net	punto net
.py	punto python
.jpg	punto jpeg
.html	punto HTML
.png	punto PNG
.pdf	punto PDF
.wav	punto WAV
.us	punto US
.ipynb	punto jupyter
