elseje	egy
másodika	kettő
harmadika	három
negyedike	négy
ötödike	öt
hatodika	hat
hetedike	hét
nyolcadika	nyolc
kilencedike	kilenc
tizedike	tíz
tizenegyedike	tizenegy
tizenkettedike	tizenkettő
tizenharmadika	tizenhárom
tizennegyedike	tizennégy
tizenötödike	tizenöt
tizenhatodika	tizenhat
tizenhetedike	tizenhét
tizennyolcadika	tizennyolc
tizenkilencedike	tizenkilenc
huszadika	húsz
huszonegyedike	huszonegy
huszonkettedike	huszonkettő
huszonharmadika	huszonhárom
huszonnegyedike	huszonnégy
huszonötödike	huszonöt
huszonhatodika	huszonhat
huszonhetedike	huszonhét
huszonnyolcadika	huszonnyolc
huszonkilencedike	huszonkilenc
harmincadika	harminc
harmincegyedike	harmincegy
