！
？
｡
。
＂
＃
＄
％
＆
＇
（
）
＊
＋
，
－
／
：
；
＜
＝
＞
＠
［
＼
］
＾
＿
｀
｛
｜
｝
～
｟
｠
｢
｣
､
、
〃
》
「
」
『
』
【
】
〔
〕
〖
〗
〘
〙
〚
〛
〜
〝
〞
〟
〰
–
—
‘
’
‛
“
”
„
‟
…
‧
﹏
<
>
