ess	vahkkun
com_pl	vahkuiguin
com_sg	vahkuin
gen_sg	vahku
gen_pl	vahkuid
ill_pl	vahkuide
ill_sg	vahkkui
loc_sg	vahkus
nom_pl	vahkut
nom_sg	vahkku
