nom_pl	dat
gen_sg	da
acc_sg	da
gen_pl	diid
acc_pl	diid
ill_sg	dii
ill_pl	diidda
loc_sg	dis
loc_pl	diin
com_sg	diin
com_pl	diiguin
ess	din
