ess	jahkin
com_pl	jagiiguin
com_sg	jagiin
acc_sg	jagi
gen_sg	jage
gen_pl	jagiid
ill_pl	jagiide
ill_sg	jahkái
loc_sg	jagis
nom_pl	jagit
nom_sg	jagi
