2	二
3	三
4	四
5	五
6	六
7	七
8	八
<<<<<<< HEAD
<<<<<<< HEAD
9	九
=======
9	九
>>>>>>> 2425bbc (data files for japanese tn)
=======
9	九
>>>>>>> 40f43fc (data files for japanese tn)
