com	காம்
org	ஆர்க்
net	நெட்
edu	எடு
gov	கவ்
in	ஐ என்
co	கோ
ac	ஏ சி
io	ஐ ஓ
ai	ஏ ஐ
uk	யூ கே
us	யூ எஸ்
info	இன்ஃபோ
dev	டெவ்
app	ஆப்
me	எம் ஈ
nic	என் ஐ சி
res	ஆர் ஈ எஸ்
