&	και
#	hash
@	στο
§	παράγραφος
™	εμπορικό σήμα
®	κατατεθέν σήμα
©	πνευματική ιδιοκτησία
_	κάτω παύλα
%	τοις εκατό
*	αστερίσκος
+	συν
/	κάθετος
=	ίσον
^	περισπωμένη
|	κάθετη γραμμή
~	περίπου
$	δολάριο
£	λίρα
€	ευρώ
°	βαθμός
