.com	닷컴
.org	닷 오알지
.gov	닷 거브
.edu	닷 에듀
.net	닷 넷
.ai	닷 에이아이
.io	닷 아이오
.dev	닷 데브
.app	닷 앱
.cloud	닷 클라우드
.shop	닷 샵
.store	닷 스토어
.co	닷 씨오
.me	닷 미
.kr	닷 케이알
.co.kr	닷 씨오 닷 케이알
.ac.kr	닷 에이씨 닷 케이알
.or.kr	닷 오알 닷 케이알
.go.kr	닷 지오 닷 케이알
.re.kr	닷 알이 닷 케이알
.jp	닷 제이피
.cn	닷 씨엔
.fr	닷 에프알
.de	닷 디이
.it	닷 아이티
.uk	닷 유케이
.br	닷 비알
.in	닷 아이엔
.ru	닷 알유
.jpg	닷 제이피지
.png	닷 피엔지
.pdf	닷 피디에프
