&	アンド
#	ハッシュタグ
@	アット
§	セクション
™	トレードマーク
®	登録商標マーク
©	著作権
_	アンダースコア
%	パーセント
*	星印
+	プラス
/	スラッシュ
=	エコール
^	曲折アクセント記号
|	縦棒
~	ティルダ
$	ドール
£	ポンド
€	ユーロ
₩	ウォン
¥	円
°	度
º	度
