amu	原子质量
bar	巴
°c	摄氏度
°C	摄氏度
ºc	摄氏度
ºC	摄氏度
℃	摄氏度
cm2	平方厘米
cm²	平方厘米
cm3	立方厘米
cm³	立方厘米
cm	厘米
cwt	美担
db	分贝
dm3	立方分米
dm³	立方分米
dm	分米
ds	毫秒
°f	华氏度
°F	华氏度
℉	华氏度
ft	英尺
ghz	吉赫兹
gw	吉瓦
gwh	吉瓦时
hz	赫兹
kbps	千比特每秒
kcal	千卡
kgf	千克力
kg	千克
khz	千赫兹
km2	平方千米
km²	平方千米
km	千米
kpa	千帕
kwh	千瓦时
kw	千瓦
kW	千瓦
lb	磅
lbs	磅
ng	纳克
nm	纳米
ns	纳秒
oz	盎司
pa	帕斯卡
rad	弧度
rpm	转每分
sq ft	平方英尺
sq mi	平方英里
sv	系沃特
tb	太字节
tj	万亿焦耳
tl	台两
v	伏特
yd	码
μg	微克
μm	微米
μs	微秒
ω	欧米茄
gb	吉字节
gpa	吉帕斯卡
gy	戈瑞
ha	公顷
pg	皮克
ps	皮秒
s	秒
g	克
