2	mi_pl_nom	dwadzieścia
2	mp_pl_nom	dwudziestu
2	pl_gen	dwudziestu
2	pl_ins	dwudziestoma
2	pl_dat	dwudziestu
2	compound	dwudziesto
3	mi_pl_nom	trzydzieści
3	mp_pl_nom	trzydziestu
3	pl_gen	trzydziestu
3	pl_ins	trzydziestoma
3	pl_dat	trzydziestu
3	compound	trzydziesto
4	mi_pl_nom	czterdzieści
4	mp_pl_nom	czterdziestu
4	pl_gen	czterdziestu
4	pl_ins	czterdziestoma
4	pl_dat	czterdziestu
4	compound	czterdziesto
5	mi_pl_nom	pięćdziesiąt
5	mp_pl_nom	pięćdziesięciu
5	pl_gen	pięćdziesięciu
5	pl_ins	pięćdziesięcioma
5	pl_dat	pięćdziesięciu
5	compound	pięćdziesięcio
6	mi_pl_nom	sześćdziesiąt
6	mp_pl_nom	sześćdziesięciu
6	pl_gen	sześćdziesięciu
6	pl_ins	sześćdziesięcioma
6	pl_dat	sześćdziesięciu
6	compound	sześćdziesięcio
7	mi_pl_nom	siedemdziesiąt
7	mp_pl_nom	siedemdziesięciu
7	pl_gen	siedemdziesięciu
7	pl_ins	siedemdziesięcioma
7	pl_dat	siedemdziesięciu
7	compound	siedemdziesięcio
8	mi_pl_nom	osiemdziesiąt
8	mp_pl_nom	osiemdziesięciu
8	pl_gen	osiemdziesięciu
8	pl_ins	osiemdziesięcioma
8	pl_dat	osiemdziesięciu
8	compound	osiemdziesięcio
9	mi_pl_nom	dziewięćdziesiąt
9	mp_pl_nom	dziewięćdziesięciu
9	pl_gen	dziewięćdziesięciu
9	pl_ins	dziewięćdziesięcioma
9	pl_dat	dziewięćdziesięciu
9	compound	dziewięćdziesięcio
