I	ένα
DCLXXXII	εξακόσια ογδόντα δύο
DCLXXXIII	εξακόσια ογδόντα τρία
DCLXXXIV	εξακόσια ογδόντα τέσσερα
DCLXXXV	εξακόσια ογδόντα πέντε
DCLXXXVI	εξακόσια ογδόντα έξι
DCLXXXVII	εξακόσια ογδόντα εφτά
DCLXXXVIII	εξακόσια ογδόντα οχτώ
DCLXXXIX	εξακόσια ογδόντα εννιά
DCXC	εξακόσια ενενήντα
DCXCI	εξακόσια ενενήντα ένα
DCXCII	εξακόσια ενενήντα δύο
DCXCIII	εξακόσια ενενήντα τρία
DCXCIV	εξακόσια ενενήντα τέσσερα
DCXCV	εξακόσια ενενήντα πέντε
DCXCVI	εξακόσια ενενήντα έξι
DCXCVII	εξακόσια ενενήντα εφτά
DCXCVIII	εξακόσια ενενήντα οχτώ
DCXCIX	εξακόσια ενενήντα εννιά
DCC	εφτακόσια
DCCI	εφτακόσια ένα
DCCII	εφτακόσια δύο
DCCIII	εφτακόσια τρία
DCCIV	εφτακόσια τέσσερα
DCCV	εφτακόσια πέντε
DCCVI	εφτακόσια έξι
DCCVII	εφτακόσια εφτά
DCCVIII	εφτακόσια οχτώ
DCCIX	εφτακόσια εννιά
DCCX	εφτακόσια δέκα
DCCXI	εφτακόσια έντεκα
DCCXII	εφτακόσια δώδεκα
DCCXIII	εφτακόσια δεκατρία
DCCXIV	εφτακόσια δεκατέσσερα
DCCXV	εφτακόσια δεκαπέντε
DCCXVI	εφτακόσια δεκαέξι
DCCXVII	εφτακόσια δεκαεφτά
DCCXVIII	εφτακόσια δεκαοχτώ
DCCXIX	εφτακόσια δεκαεννιά
DCCXX	εφτακόσια είκοσι
DCCXXI	εφτακόσια είκοσι ένα
DCCXXII	εφτακόσια είκοσι δύο
DCCXXIII	εφτακόσια είκοσι τρία
DCCXXIV	εφτακόσια είκοσι τέσσερα
DCCXXV	εφτακόσια είκοσι πέντε
DCCXXVI	εφτακόσια είκοσι έξι
DCCXXVII	εφτακόσια είκοσι εφτά
DCCXXVIII	εφτακόσια είκοσι οχτώ
DCCXXIX	εφτακόσια είκοσι εννιά
DCCXXX	εφτακόσια τριάντα
DCCXXXI	εφτακόσια τριάντα ένα
DCCXXXII	εφτακόσια τριάντα δύο
DCCXXXIII	εφτακόσια τριάντα τρία
DCCXXXIV	εφτακόσια τριάντα τέσσερα
DCCXXXV	εφτακόσια τριάντα πέντε
DCCXXXVI	εφτακόσια τριάντα έξι
DCCXXXVII	εφτακόσια τριάντα εφτά
DCCXXXVIII	εφτακόσια τριάντα οχτώ
DCCXXXIX	εφτακόσια τριάντα εννιά
DCCXL	εφτακόσια σαράντα
DCCXLI	εφτακόσια σαράντα ένα
DCCXLII	εφτακόσια σαράντα δύο
DCCXLIII	εφτακόσια σαράντα τρία
DCCXLIV	εφτακόσια σαράντα τέσσερα
DCCXLV	εφτακόσια σαράντα πέντε
DCCXLVI	εφτακόσια σαράντα έξι
DCCXLVII	εφτακόσια σαράντα εφτά
DCCXLVIII	εφτακόσια σαράντα οχτώ
DCCXLIX	εφτακόσια σαράντα εννιά
DCCL	εφτακόσια πενήντα
DCCLI	εφτακόσια πενήντα ένα
DCCLII	εφτακόσια πενήντα δύο
DCCLIII	εφτακόσια πενήντα τρία
DCCLIV	εφτακόσια πενήντα τέσσερα
DCCLV	εφτακόσια πενήντα πέντε
DCCLVI	εφτακόσια πενήντα έξι
DCCLVII	εφτακόσια πενήντα εφτά
DCCLVIII	εφτακόσια πενήντα οχτώ
DCCLIX	εφτακόσια πενήντα εννιά
DCCLX	εφτακόσια εξήντα
DCCLXI	εφτακόσια εξήντα ένα
DCCLXII	εφτακόσια εξήντα δύο
DCCLXIII	εφτακόσια εξήντα τρία
DCCLXIV	εφτακόσια εξήντα τέσσερα
DCCLXV	εφτακόσια εξήντα πέντε
DCCLXVI	εφτακόσια εξήντα έξι
DCCLXVII	εφτακόσια εξήντα εφτά
DCCLXVIII	εφτακόσια εξήντα οχτώ
DCCLXIX	εφτακόσια εξήντα εννιά
DCCLXX	εφτακόσια εβδομήντα
DCCLXXI	εφτακόσια εβδομήντα ένα
DCCLXXII	εφτακόσια εβδομήντα δύο
DCCLXXIII	εφτακόσια εβδομήντα τρία
DCCLXXIV	εφτακόσια εβδομήντα τέσσερα
DCCLXXV	εφτακόσια εβδομήντα πέντε
DCCLXXVI	εφτακόσια εβδομήντα έξι
DCCLXXVII	εφτακόσια εβδομήντα εφτά
DCCLXXVIII	εφτακόσια εβδομήντα οχτώ
DCCLXXIX	εφτακόσια εβδομήντα εννιά
DCCLXXX	εφτακόσια ογδόντα
DCCLXXXI	εφτακόσια ογδόντα ένα
DCCLXXXII	εφτακόσια ογδόντα δύο
DCCLXXXIII	εφτακόσια ογδόντα τρία
DCCLXXXIV	εφτακόσια ογδόντα τέσσερα
DCCLXXXV	εφτακόσια ογδόντα πέντε
DCCLXXXVI	εφτακόσια ογδόντα έξι
DCCLXXXVII	εφτακόσια ογδόντα εφτά
DCCLXXXVIII	εφτακόσια ογδόντα οχτώ
DCCLXXXIX	εφτακόσια ογδόντα εννιά
DCCXC	εφτακόσια ενενήντα
DCCXCI	εφτακόσια ενενήντα ένα
DCCXCII	εφτακόσια ενενήντα δύο
DCCXCIII	εφτακόσια ενενήντα τρία
DCCXCIV	εφτακόσια ενενήντα τέσσερα
DCCXCV	εφτακόσια ενενήντα πέντε
DCCXCVI	εφτακόσια ενενήντα έξι
DCCXCVII	εφτακόσια ενενήντα εφτά
DCCXCVIII	εφτακόσια ενενήντα οχτώ
DCCXCIX	εφτακόσια ενενήντα εννιά
DCCC	οχτακόσια
DCCCI	οχτακόσια ένα
DCCCII	οχτακόσια δύο
DCCCIII	οχτακόσια τρία
DCCCIV	οχτακόσια τέσσερα
DCCCV	οχτακόσια πέντε
DCCCVI	οχτακόσια έξι
DCCCVII	οχτακόσια εφτά
DCCCVIII	οχτακόσια οχτώ
DCCCIX	οχτακόσια εννιά
DCCCX	οχτακόσια δέκα
DCCCXI	οχτακόσια έντεκα
DCCCXII	οχτακόσια δώδεκα
DCCCXIII	οχτακόσια δεκατρία
DCCCXIV	οχτακόσια δεκατέσσερα
DCCCXV	οχτακόσια δεκαπέντε
DCCCXVI	οχτακόσια δεκαέξι
DCCCXVII	οχτακόσια δεκαεφτά
DCCCXVIII	οχτακόσια δεκαοχτώ
DCCCXIX	οχτακόσια δεκαεννιά
DCCCXX	οχτακόσια είκοσι
DCCCXXI	οχτακόσια είκοσι ένα
DCCCXXII	οχτακόσια είκοσι δύο
DCCCXXIII	οχτακόσια είκοσι τρία
DCCCXXIV	οχτακόσια είκοσι τέσσερα
DCCCXXV	οχτακόσια είκοσι πέντε
DCCCXXVI	οχτακόσια είκοσι έξι
DCCCXXVII	οχτακόσια είκοσι εφτά
DCCCXXVIII	οχτακόσια είκοσι οχτώ
DCCCXXIX	οχτακόσια είκοσι εννιά
DCCCXXX	οχτακόσια τριάντα
DCCCXXXI	οχτακόσια τριάντα ένα
DCCCXXXII	οχτακόσια τριάντα δύο
DCCCXXXIII	οχτακόσια τριάντα τρία
DCCCXXXIV	οχτακόσια τριάντα τέσσερα
DCCCXXXV	οχτακόσια τριάντα πέντε
DCCCXXXVI	οχτακόσια τριάντα έξι
DCCCXXXVII	οχτακόσια τριάντα εφτά
DCCCXXXVIII	οχτακόσια τριάντα οχτώ
DCCCXXXIX	οχτακόσια τριάντα εννιά
DCCCXL	οχτακόσια σαράντα
DCCCXLI	οχτακόσια σαράντα ένα
DCCCXLII	οχτακόσια σαράντα δύο
DCCCXLIII	οχτακόσια σαράντα τρία
DCCCXLIV	οχτακόσια σαράντα τέσσερα
DCCCXLV	οχτακόσια σαράντα πέντε
DCCCXLVI	οχτακόσια σαράντα έξι
DCCCXLVII	οχτακόσια σαράντα εφτά
DCCCXLVIII	οχτακόσια σαράντα οχτώ
DCCCXLIX	οχτακόσια σαράντα εννιά
DCCCL	οχτακόσια πενήντα
DCCCLI	οχτακόσια πενήντα ένα
DCCCLII	οχτακόσια πενήντα δύο
DCCCLIII	οχτακόσια πενήντα τρία
DCCCLIV	οχτακόσια πενήντα τέσσερα
DCCCLV	οχτακόσια πενήντα πέντε
DCCCLVI	οχτακόσια πενήντα έξι
DCCCLVII	οχτακόσια πενήντα εφτά
DCCCLVIII	οχτακόσια πενήντα οχτώ
DCCCLIX	οχτακόσια πενήντα εννιά
DCCCLX	οχτακόσια εξήντα
DCCCLXI	οχτακόσια εξήντα ένα
DCCCLXII	οχτακόσια εξήντα δύο
DCCCLXIII	οχτακόσια εξήντα τρία
DCCCLXIV	οχτακόσια εξήντα τέσσερα
DCCCLXV	οχτακόσια εξήντα πέντε
DCCCLXVI	οχτακόσια εξήντα έξι
DCCCLXVII	οχτακόσια εξήντα εφτά
DCCCLXVIII	οχτακόσια εξήντα οχτώ
DCCCLXIX	οχτακόσια εξήντα εννιά
DCCCLXX	οχτακόσια εβδομήντα
DCCCLXXI	οχτακόσια εβδομήντα ένα
DCCCLXXII	οχτακόσια εβδομήντα δύο
DCCCLXXIII	οχτακόσια εβδομήντα τρία
DCCCLXXIV	οχτακόσια εβδομήντα τέσσερα
DCCCLXXV	οχτακόσια εβδομήντα πέντε
DCCCLXXVI	οχτακόσια εβδομήντα έξι
DCCCLXXVII	οχτακόσια εβδομήντα εφτά
DCCCLXXVIII	οχτακόσια εβδομήντα οχτώ
DCCCLXXIX	οχτακόσια εβδομήντα εννιά
DCCCLXXX	οχτακόσια ογδόντα
DCCCLXXXI	οχτακόσια ογδόντα ένα
DCCCLXXXII	οχτακόσια ογδόντα δύο
DCCCLXXXIII	οχτακόσια ογδόντα τρία
DCCCLXXXIV	οχτακόσια ογδόντα τέσσερα
DCCCLXXXV	οχτακόσια ογδόντα πέντε
DCCCLXXXVI	οχτακόσια ογδόντα έξι
DCCCLXXXVII	οχτακόσια ογδόντα εφτά
DCCCLXXXVIII	οχτακόσια ογδόντα οχτώ
DCCCLXXXIX	οχτακόσια ογδόντα εννιά
DCCCXC	οχτακόσια ενενήντα
DCCCXCI	οχτακόσια ενενήντα ένα
DCCCXCII	οχτακόσια ενενήντα δύο
DCCCXCIII	οχτακόσια ενενήντα τρία
DCCCXCIV	οχτακόσια ενενήντα τέσσερα
DCCCXCV	οχτακόσια ενενήντα πέντε
DCCCXCVI	οχτακόσια ενενήντα έξι
DCCCXCVII	οχτακόσια ενενήντα εφτά
DCCCXCVIII	οχτακόσια ενενήντα οχτώ
DCCCXCIX	οχτακόσια ενενήντα εννιά
CM	εννιακόσια
CMI	εννιακόσια ένα
CMII	εννιακόσια δύο
CMIII	εννιακόσια τρία
CMIV	εννιακόσια τέσσερα
CMV	εννιακόσια πέντε
CMVI	εννιακόσια έξι
CMVII	εννιακόσια εφτά
CMVIII	εννιακόσια οχτώ
CMIX	εννιακόσια εννιά
CMX	εννιακόσια δέκα
CMXI	εννιακόσια έντεκα
CMXII	εννιακόσια δώδεκα
CMXIII	εννιακόσια δεκατρία
CMXIV	εννιακόσια δεκατέσσερα
CMXV	εννιακόσια δεκαπέντε
CMXVI	εννιακόσια δεκαέξι
CMXVII	εννιακόσια δεκαεφτά
CMXVIII	εννιακόσια δεκαοχτώ
CMXIX	εννιακόσια δεκαεννιά
CMXX	εννιακόσια είκοσι
CMXXI	εννιακόσια είκοσι ένα
CMXXII	εννιακόσια είκοσι δύο
CMXXIII	εννιακόσια είκοσι τρία
CMXXIV	εννιακόσια είκοσι τέσσερα
CMXXV	εννιακόσια είκοσι πέντε
CMXXVI	εννιακόσια είκοσι έξι
CMXXVII	εννιακόσια είκοσι εφτά
CMXXVIII	εννιακόσια είκοσι οχτώ
CMXXIX	εννιακόσια είκοσι εννιά
CMXXX	εννιακόσια τριάντα
CMXXXI	εννιακόσια τριάντα ένα
CMXXXII	εννιακόσια τριάντα δύο
CMXXXIII	εννιακόσια τριάντα τρία
CMXXXIV	εννιακόσια τριάντα τέσσερα
CMXXXV	εννιακόσια τριάντα πέντε
CMXXXVI	εννιακόσια τριάντα έξι
CMXXXVII	εννιακόσια τριάντα εφτά
CMXXXVIII	εννιακόσια τριάντα οχτώ
CMXXXIX	εννιακόσια τριάντα εννιά
CMXL	εννιακόσια σαράντα
CMXLI	εννιακόσια σαράντα ένα
CMXLII	εννιακόσια σαράντα δύο
CMXLIII	εννιακόσια σαράντα τρία
CMXLIV	εννιακόσια σαράντα τέσσερα
CMXLV	εννιακόσια σαράντα πέντε
CMXLVI	εννιακόσια σαράντα έξι
CMXLVII	εννιακόσια σαράντα εφτά
CMXLVIII	εννιακόσια σαράντα οχτώ
CMXLIX	εννιακόσια σαράντα εννιά
CML	εννιακόσια πενήντα
CMLI	εννιακόσια πενήντα ένα
CMLII	εννιακόσια πενήντα δύο
CMLIII	εννιακόσια πενήντα τρία
CMLIV	εννιακόσια πενήντα τέσσερα
CMLV	εννιακόσια πενήντα πέντε
CMLVI	εννιακόσια πενήντα έξι
CMLVII	εννιακόσια πενήντα εφτά
CMLVIII	εννιακόσια πενήντα οχτώ
CMLIX	εννιακόσια πενήντα εννιά
CMLX	εννιακόσια εξήντα
CMLXI	εννιακόσια εξήντα ένα
CMLXII	εννιακόσια εξήντα δύο
CMLXIII	εννιακόσια εξήντα τρία
CMLXIV	εννιακόσια εξήντα τέσσερα
CMLXV	εννιακόσια εξήντα πέντε
CMLXVI	εννιακόσια εξήντα έξι
CMLXVII	εννιακόσια εξήντα εφτά
CMLXVIII	εννιακόσια εξήντα οχτώ
CMLXIX	εννιακόσια εξήντα εννιά
CMLXX	εννιακόσια εβδομήντα
CMLXXI	εννιακόσια εβδομήντα ένα
CMLXXII	εννιακόσια εβδομήντα δύο
CMLXXIII	εννιακόσια εβδομήντα τρία
CMLXXIV	εννιακόσια εβδομήντα τέσσερα
CMLXXV	εννιακόσια εβδομήντα πέντε
CMLXXVI	εννιακόσια εβδομήντα έξι
CMLXXVII	εννιακόσια εβδομήντα εφτά
CMLXXVIII	εννιακόσια εβδομήντα οχτώ
CMLXXIX	εννιακόσια εβδομήντα εννιά
CMLXXX	εννιακόσια ογδόντα
CMLXXXI	εννιακόσια ογδόντα ένα
CMLXXXII	εννιακόσια ογδόντα δύο
CMLXXXIII	εννιακόσια ογδόντα τρία
CMLXXXIV	εννιακόσια ογδόντα τέσσερα
CMLXXXV	εννιακόσια ογδόντα πέντε
CMLXXXVI	εννιακόσια ογδόντα έξι
CMLXXXVII	εννιακόσια ογδόντα εφτά
CMLXXXVIII	εννιακόσια ογδόντα οχτώ
CMLXXXIX	εννιακόσια ογδόντα εννιά
CMXC	εννιακόσια ενενήντα
CMXCI	εννιακόσια ενενήντα ένα
CMXCII	εννιακόσια ενενήντα δύο
CMXCIII	εννιακόσια ενενήντα τρία
CMXCIV	εννιακόσια ενενήντα τέσσερα
CMXCV	εννιακόσια ενενήντα πέντε
CMXCVI	εννιακόσια ενενήντα έξι
CMXCVII	εννιακόσια ενενήντα εφτά
CMXCVIII	εννιακόσια ενενήντα οχτώ
CMXCIX	εννιακόσια ενενήντα εννιά
M	χίλια
MI	χίλια ένα
MII	χίλια δύο
MIII	χίλια τρία
MIV	χίλια τέσσερα
MV	χίλια πέντε
MVI	χίλια έξι
MVII	χίλια εφτά
MVIII	χίλια οχτώ
MIX	χίλια εννιά
MX	χίλια δέκα
MXI	χίλια έντεκα
MXII	χίλια δώδεκα
MXIII	χίλια δεκατρία
MXIV	χίλια δεκατέσσερα
MXV	χίλια δεκαπέντε
MXVI	χίλια δεκαέξι
MXVII	χίλια δεκαεφτά
MXVIII	χίλια δεκαοχτώ
MXIX	χίλια δεκαεννιά
MXX	χίλια είκοσι
MXXI	χίλια είκοσι ένα
MXXII	χίλια είκοσι δύο
MXXIII	χίλια είκοσι τρία
MXXIV	χίλια είκοσι τέσσερα
MXXV	χίλια είκοσι πέντε
MXXVI	χίλια είκοσι έξι
MXXVII	χίλια είκοσι εφτά
MXXVIII	χίλια είκοσι οχτώ
MXXIX	χίλια είκοσι εννιά
MXXX	χίλια τριάντα
MXXXI	χίλια τριάντα ένα
MXXXII	χίλια τριάντα δύο
MXXXIII	χίλια τριάντα τρία
MXXXIV	χίλια τριάντα τέσσερα
MXXXV	χίλια τριάντα πέντε
MXXXVI	χίλια τριάντα έξι
MXXXVII	χίλια τριάντα εφτά
MXXXVIII	χίλια τριάντα οχτώ
MXXXIX	χίλια τριάντα εννιά
MXL	χίλια σαράντα
MXLI	χίλια σαράντα ένα
MXLII	χίλια σαράντα δύο
MXLIII	χίλια σαράντα τρία
MXLIV	χίλια σαράντα τέσσερα
MXLV	χίλια σαράντα πέντε
MXLVI	χίλια σαράντα έξι
MXLVII	χίλια σαράντα εφτά
MXLVIII	χίλια σαράντα οχτώ
MXLIX	χίλια σαράντα εννιά
ML	χίλια πενήντα
MLI	χίλια πενήντα ένα
MLII	χίλια πενήντα δύο
MLIII	χίλια πενήντα τρία
MLIV	χίλια πενήντα τέσσερα
MLV	χίλια πενήντα πέντε
MLVI	χίλια πενήντα έξι
MLVII	χίλια πενήντα εφτά
MLVIII	χίλια πενήντα οχτώ
MLIX	χίλια πενήντα εννιά
MLX	χίλια εξήντα
MLXI	χίλια εξήντα ένα
MLXII	χίλια εξήντα δύο
MLXIII	χίλια εξήντα τρία
MLXIV	χίλια εξήντα τέσσερα
MLXV	χίλια εξήντα πέντε
MLXVI	χίλια εξήντα έξι
MLXVII	χίλια εξήντα εφτά
MLXVIII	χίλια εξήντα οχτώ
MLXIX	χίλια εξήντα εννιά
MLXX	χίλια εβδομήντα
MLXXI	χίλια εβδομήντα ένα
MLXXII	χίλια εβδομήντα δύο
MLXXIII	χίλια εβδομήντα τρία
MLXXIV	χίλια εβδομήντα τέσσερα
MLXXV	χίλια εβδομήντα πέντε
MLXXVI	χίλια εβδομήντα έξι
MLXXVII	χίλια εβδομήντα εφτά
MLXXVIII	χίλια εβδομήντα οχτώ
MLXXIX	χίλια εβδομήντα εννιά
MLXXX	χίλια ογδόντα
MLXXXI	χίλια ογδόντα ένα
MLXXXII	χίλια ογδόντα δύο
MLXXXIII	χίλια ογδόντα τρία
MLXXXIV	χίλια ογδόντα τέσσερα
MLXXXV	χίλια ογδόντα πέντε
MLXXXVI	χίλια ογδόντα έξι
MLXXXVII	χίλια ογδόντα εφτά
MLXXXVIII	χίλια ογδόντα οχτώ
MLXXXIX	χίλια ογδόντα εννιά
MXC	χίλια ενενήντα
MXCI	χίλια ενενήντα ένα
MXCII	χίλια ενενήντα δύο
MXCIII	χίλια ενενήντα τρία
MXCIV	χίλια ενενήντα τέσσερα
MXCV	χίλια ενενήντα πέντε
MXCVI	χίλια ενενήντα έξι
MXCVII	χίλια ενενήντα εφτά
MXCVIII	χίλια ενενήντα οχτώ
MXCIX	χίλια ενενήντα εννιά
MC	χίλια εκατό
MCI	χίλια εκατόν ένα
MCII	χίλια εκατόν δύο
MCIII	χίλια εκατόν τρία
MCIV	χίλια εκατόν τέσσερα
MCV	χίλια εκατόν πέντε
MCVI	χίλια εκατόν έξι
MCVII	χίλια εκατόν εφτά
MCVIII	χίλια εκατόν οχτώ
MCIX	χίλια εκατόν εννιά
MCX	χίλια εκατόν δέκα
MCXI	χίλια εκατόν έντεκα
MCXII	χίλια εκατόν δώδεκα
MCXIII	χίλια εκατόν δεκατρία
MCXIV	χίλια εκατόν δεκατέσσερα
MCXV	χίλια εκατόν δεκαπέντε
MCXVI	χίλια εκατόν δεκαέξι
MCXVII	χίλια εκατόν δεκαεφτά
MCXVIII	χίλια εκατόν δεκαοχτώ
MCXIX	χίλια εκατόν δεκαεννιά
MCXX	χίλια εκατόν είκοσι
MCXXI	χίλια εκατόν είκοσι ένα
MCXXII	χίλια εκατόν είκοσι δύο
MCXXIII	χίλια εκατόν είκοσι τρία
MCXXIV	χίλια εκατόν είκοσι τέσσερα
MCXXV	χίλια εκατόν είκοσι πέντε
MCXXVI	χίλια εκατόν είκοσι έξι
MCXXVII	χίλια εκατόν είκοσι εφτά
MCXXVIII	χίλια εκατόν είκοσι οχτώ
MCXXIX	χίλια εκατόν είκοσι εννιά
MCXXX	χίλια εκατόν τριάντα
MCXXXI	χίλια εκατόν τριάντα ένα
MCXXXII	χίλια εκατόν τριάντα δύο
MCXXXIII	χίλια εκατόν τριάντα τρία
MCXXXIV	χίλια εκατόν τριάντα τέσσερα
MCXXXV	χίλια εκατόν τριάντα πέντε
MCXXXVI	χίλια εκατόν τριάντα έξι
MCXXXVII	χίλια εκατόν τριάντα εφτά
MCXXXVIII	χίλια εκατόν τριάντα οχτώ
MCXXXIX	χίλια εκατόν τριάντα εννιά
MCXL	χίλια εκατόν σαράντα
MCXLI	χίλια εκατόν σαράντα ένα
MCXLII	χίλια εκατόν σαράντα δύο
MCXLIII	χίλια εκατόν σαράντα τρία
MCXLIV	χίλια εκατόν σαράντα τέσσερα
MCXLV	χίλια εκατόν σαράντα πέντε
MCXLVI	χίλια εκατόν σαράντα έξι
MCXLVII	χίλια εκατόν σαράντα εφτά
MCXLVIII	χίλια εκατόν σαράντα οχτώ
MCXLIX	χίλια εκατόν σαράντα εννιά
MCL	χίλια εκατόν πενήντα
MCLI	χίλια εκατόν πενήντα ένα
MCLII	χίλια εκατόν πενήντα δύο
MCLIII	χίλια εκατόν πενήντα τρία
MCLIV	χίλια εκατόν πενήντα τέσσερα
MCLV	χίλια εκατόν πενήντα πέντε
MCLVI	χίλια εκατόν πενήντα έξι
MCLVII	χίλια εκατόν πενήντα εφτά
MCLVIII	χίλια εκατόν πενήντα οχτώ
MCLIX	χίλια εκατόν πενήντα εννιά
MCLX	χίλια εκατόν εξήντα
MCLXI	χίλια εκατόν εξήντα ένα
MCLXII	χίλια εκατόν εξήντα δύο
MCLXIII	χίλια εκατόν εξήντα τρία
MCLXIV	χίλια εκατόν εξήντα τέσσερα
MCLXV	χίλια εκατόν εξήντα πέντε
MCLXVI	χίλια εκατόν εξήντα έξι
MCLXVII	χίλια εκατόν εξήντα εφτά
MCLXVIII	χίλια εκατόν εξήντα οχτώ
MCLXIX	χίλια εκατόν εξήντα εννιά
MCLXX	χίλια εκατόν εβδομήντα
MCLXXI	χίλια εκατόν εβδομήντα ένα
MCLXXII	χίλια εκατόν εβδομήντα δύο
MCLXXIII	χίλια εκατόν εβδομήντα τρία
MCLXXIV	χίλια εκατόν εβδομήντα τέσσερα
MCLXXV	χίλια εκατόν εβδομήντα πέντε
MCLXXVI	χίλια εκατόν εβδομήντα έξι
MCLXXVII	χίλια εκατόν εβδομήντα εφτά
MCLXXVIII	χίλια εκατόν εβδομήντα οχτώ
MCLXXIX	χίλια εκατόν εβδομήντα εννιά
MCLXXX	χίλια εκατόν ογδόντα
MCLXXXI	χίλια εκατόν ογδόντα ένα
MCLXXXII	χίλια εκατόν ογδόντα δύο
MCLXXXIII	χίλια εκατόν ογδόντα τρία
MCLXXXIV	χίλια εκατόν ογδόντα τέσσερα
MCLXXXV	χίλια εκατόν ογδόντα πέντε
MCLXXXVI	χίλια εκατόν ογδόντα έξι
MCLXXXVII	χίλια εκατόν ογδόντα εφτά
MCLXXXVIII	χίλια εκατόν ογδόντα οχτώ
MCLXXXIX	χίλια εκατόν ογδόντα εννιά
MCXC	χίλια εκατόν ενενήντα
MCXCI	χίλια εκατόν ενενήντα ένα
MCXCII	χίλια εκατόν ενενήντα δύο
MCXCIII	χίλια εκατόν ενενήντα τρία
MCXCIV	χίλια εκατόν ενενήντα τέσσερα
MCXCV	χίλια εκατόν ενενήντα πέντε
MCXCVI	χίλια εκατόν ενενήντα έξι
MCXCVII	χίλια εκατόν ενενήντα εφτά
MCXCVIII	χίλια εκατόν ενενήντα οχτώ
MCXCIX	χίλια εκατόν ενενήντα εννιά
MCC	χίλια διακόσια
MCCI	χίλια διακόσια ένα
MCCII	χίλια διακόσια δύο
MCCIII	χίλια διακόσια τρία
MCCIV	χίλια διακόσια τέσσερα
MCCV	χίλια διακόσια πέντε
MCCVI	χίλια διακόσια έξι
MCCVII	χίλια διακόσια εφτά
MCCVIII	χίλια διακόσια οχτώ
MCCIX	χίλια διακόσια εννιά
MCCX	χίλια διακόσια δέκα
MCCXI	χίλια διακόσια έντεκα
MCCXII	χίλια διακόσια δώδεκα
MCCXIII	χίλια διακόσια δεκατρία
MCCXIV	χίλια διακόσια δεκατέσσερα
MCCXV	χίλια διακόσια δεκαπέντε
MCCXVI	χίλια διακόσια δεκαέξι
MCCXVII	χίλια διακόσια δεκαεφτά
MCCXVIII	χίλια διακόσια δεκαοχτώ
MCCXIX	χίλια διακόσια δεκαεννιά
MCCXX	χίλια διακόσια είκοσι
MCCXXI	χίλια διακόσια είκοσι ένα
MCCXXII	χίλια διακόσια είκοσι δύο
MCCXXIII	χίλια διακόσια είκοσι τρία
MCCXXIV	χίλια διακόσια είκοσι τέσσερα
MCCXXV	χίλια διακόσια είκοσι πέντε
MCCXXVI	χίλια διακόσια είκοσι έξι
MCCXXVII	χίλια διακόσια είκοσι εφτά
MCCXXVIII	χίλια διακόσια είκοσι οχτώ
MCCXXIX	χίλια διακόσια είκοσι εννιά
MCCXXX	χίλια διακόσια τριάντα
MCCXXXI	χίλια διακόσια τριάντα ένα
MCCXXXII	χίλια διακόσια τριάντα δύο
MCCXXXIII	χίλια διακόσια τριάντα τρία
MCCXXXIV	χίλια διακόσια τριάντα τέσσερα
MCCXXXV	χίλια διακόσια τριάντα πέντε
MCCXXXVI	χίλια διακόσια τριάντα έξι
MCCXXXVII	χίλια διακόσια τριάντα εφτά
MCCXXXVIII	χίλια διακόσια τριάντα οχτώ
MCCXXXIX	χίλια διακόσια τριάντα εννιά
MCCXL	χίλια διακόσια σαράντα
MCCXLI	χίλια διακόσια σαράντα ένα
MCCXLII	χίλια διακόσια σαράντα δύο
MCCXLIII	χίλια διακόσια σαράντα τρία
MCCXLIV	χίλια διακόσια σαράντα τέσσερα
MCCXLV	χίλια διακόσια σαράντα πέντε
MCCXLVI	χίλια διακόσια σαράντα έξι
MCCXLVII	χίλια διακόσια σαράντα εφτά
MCCXLVIII	χίλια διακόσια σαράντα οχτώ
MCCXLIX	χίλια διακόσια σαράντα εννιά
MCCL	χίλια διακόσια πενήντα
MCCLI	χίλια διακόσια πενήντα ένα
MCCLII	χίλια διακόσια πενήντα δύο
MCCLIII	χίλια διακόσια πενήντα τρία
MCCLIV	χίλια διακόσια πενήντα τέσσερα
MCCLV	χίλια διακόσια πενήντα πέντε
MCCLVI	χίλια διακόσια πενήντα έξι
MCCLVII	χίλια διακόσια πενήντα εφτά
MCCLVIII	χίλια διακόσια πενήντα οχτώ
MCCLIX	χίλια διακόσια πενήντα εννιά
MCCLX	χίλια διακόσια εξήντα
MCCLXI	χίλια διακόσια εξήντα ένα
MCCLXII	χίλια διακόσια εξήντα δύο
MCCLXIII	χίλια διακόσια εξήντα τρία
MCCLXIV	χίλια διακόσια εξήντα τέσσερα
MCCLXV	χίλια διακόσια εξήντα πέντε
MCCLXVI	χίλια διακόσια εξήντα έξι
MCCLXVII	χίλια διακόσια εξήντα εφτά
MCCLXVIII	χίλια διακόσια εξήντα οχτώ
MCCLXIX	χίλια διακόσια εξήντα εννιά
MCCLXX	χίλια διακόσια εβδομήντα
MCCLXXI	χίλια διακόσια εβδομήντα ένα
MCCLXXII	χίλια διακόσια εβδομήντα δύο
MCCLXXIII	χίλια διακόσια εβδομήντα τρία
MCCLXXIV	χίλια διακόσια εβδομήντα τέσσερα
MCCLXXV	χίλια διακόσια εβδομήντα πέντε
MCCLXXVI	χίλια διακόσια εβδομήντα έξι
MCCLXXVII	χίλια διακόσια εβδομήντα εφτά
MCCLXXVIII	χίλια διακόσια εβδομήντα οχτώ
MCCLXXIX	χίλια διακόσια εβδομήντα εννιά
