Αβραάμ
Αγαμέμνων
Αγάπιος
Αγγελής
Αγησίλαος
Αδαμάντιος
Αθανάσιος
Αιμίλιος
Αλέξανδρος
Αλέξιος
Αλκιβιάδης
Αμβρόσιος
Αναξαγόρας
Ανδρέας
Ανδρόνικος
Ανέστης
Αντώνιος
Απόστολος
Αργύρης
Αριστείδης
Αριστοτέλης
Αρκάδιος
Αρσένιος
Αρχιμήδης
Ασημάκης
Βασίλειος
Βενέδικτος
Βησσαρίωνας
Βλάσιος
Βρασίδας
Γαβριήλ
Γεράσιμος
Γεώργιος
Γιάννης
Γρηγόριος
Δαβίδ
Δαμιανός
Δανιήλ
Δημήτριος
Διογένης
Διονύσιος
Δομήνικος
Δωρόθεος
Ελευθέριος
Ελισαίος
Εμμανουήλ
Επαμεινώνδας
Επίκουρος
Ερμής
Ερμόλαος
Ευάγγελος
Ευγένιος
Ευθύμιος
Ευμένης
Ευριπίδης
Ευστάθιος
Ευστράτιος
Ζαχαρίας
Ζήνωνας
Ηλίας
Ηρακλής
Θεμιστοκλής
Θεόδωρος
Θεόφιλος
Θεοχάρης
Θρασύβουλος
Ιάκωβος
Ιάσονας
Ιγνάτιος
Ιερεμίας
Ιερόθεος
Ιερώνυμος
Ιορδάνης
Ιούλιος
Ιπποκράτης
Ισαάκ
Ισίδωρος
Ιωάννης
Ιωακείμ
Ιωσήφ
Κάρολος
Κλεάνθης
Κλέων
Κομνηνός
Κοσμάς
Κυπριανός
Κύριλλος
Κωνσταντίνος
Λάζαρος
Λάμπρος
Λεωνίδας
Λουκάς
Λουκιανός
Λυκούργος
Μάγνος
Μακάριος
Μαρίνος
Μάρκος
Ματθαίος
Μιλτιάδης
Μιχαήλ
Μωυσής
Νέστωρ
Νικήτας
Νικηφόρος
Νικόδημος
Νικόλαος
Νίκος
Ξενοφώντας
Οδυσσέας
Ορέστης
Παγκράτιος
Παναγής
Παναγιώτης
Παντελής
Παρασκευάς
Παύλος
Πέτρος
Πλάτων
Πλούταρχος
Πολύκαρπος
Πορφύριος
Προκόπιος
Πρωτεσίλαος
Πυθαγόρας
Ραφαήλ
Ρήγας
Σάββας
Σεβαστιανός
Σέργιος
Σίμων
Σολομών
Σπυρίδων
Σταμάτης
Σταύρος
Στέφανος
Στυλιανός
Σωκράτης
Σωτήρης
Τηλέμαχος
Τίμων
Τίτος
Τριαντάφυλλος
Τρύφων
Υάκινθος
Φανούριος
Φίλιππος
Φιλόθεος
Φιλώτας
Φίλων
Φωκάς
Φώτιος
Χαράλαμπος
Χαρίλαος
Χρήστος
Χριστόδουλος
Χριστόφορος
Aaron
Adam
Adrian
Alan
Albert
Alexander
Alfred
Andrew
Anthony
Arthur
Augustus
Benjamin
Bernard
Bertrand
Brian
Bruce
Carl
Charles
Christian
Christopher
Clark
Claude
Conrad
Constantine
Cyril
Daniel
David
Dennis
Donald
Douglas
Duke
Edgar
Edmund
Edward
Edwin
Emil
Eric
Ernest
Eugene
Felix
Ferdinand
Francis
Frank
Frederick
Gabriel
Geoffrey
George
Gerald
Gilbert
Gordon
Gregory
Gustav
Harold
Harrison
Harry
Henry
Herbert
Herman
Hugh
Ian
Isaac
Ivan
Jack
Jacob
James
Jason
Jeffrey
Jeremy
Jerome
Jesse
John
Jonathan
Joseph
Joshua
Julian
Justin
Keith
Kenneth
Kevin
Kyle
Laurence
Lawrence
Leo
Leonard
Leopold
Leslie
Lewis
Liam
Louis
Lucas
Luke
Malcolm
Marcus
Mark
Martin
Matthew
Maurice
Max
Michael
Nathan
Nathaniel
Neil
Nicholas
Nigel
Noah
Norman
Oliver
Oscar
Oswald
Owen
Patrick
Paul
Peter
Philip
Phillip
Quentin
Ralph
Randall
Raymond
Reginald
Richard
Robert
Robin
Roger
Roland
Ronald
Roy
Rudolf
Russell
Ryan
Samuel
Sean
Sebastian
Seth
Sidney
Silas
Simon
Stephen
Steven
Stewart
Stuart
Terence
Theodore
Thomas
Timothy
Tobias
Tyler
Victor
Vincent
Vladimir
Walter
Warren
Wayne
William
Winston
Zachary
Άγγελος
Έκτορας
Έρασμος
Όμηρος
