Αγγελική
Αγλαΐα
Αθηνά
Αικατερίνη
Αλεξάνδρα
Αμαλία
Αναστασία
Ανδρομάχη
Ανθούλα
Αντιγόνη
Απολλωνία
Αργυρώ
Αριάδνη
Αρτεμισία
Ασημίνα
Αφροδίτη
Βασιλική
Βίκυ
Γαλάτεια
Γεωργία
Γλυκερία
Δάφνη
Δέσποινα
Δήμητρα
Διαμάντω
Δωροθέα
Ειρήνη
Έλενα
Ελένη
Ελισάβετ
Ελπίδα
Εμμανουέλα
Ερασμία
Ευγενία
Ευδοκία
Ευθαλία
Ευτέρπη
Ζαμπέτα
Ζωή
Ηλέκτρα
Θάλεια
Θεοδώρα
Θεοφανώ
Ιουλία
Ισμήνη
Ιωάννα
Καλή
Καλλιόπη
Κασσάνδρα
Κατερίνα
Κλεοπάτρα
Κορνηλία
Κυριακή
Κωνσταντίνα
Λαμπρινή
Λήδα
Λουκία
Λυδία
Μαγδαληνή
Μαργαρίτα
Μαρία
Μαρίνα
Μελισσάνθη
Μελπομένη
Μερόπη
Μιχαέλα
Μυρσίνη
Μυρτώ
Ναταλία
Νίκη
Νικολέτα
Ξανθή
Ξένια
Ολυμπία
Ουρανία
Παναγιώτα
Πανδώρα
Παρασκευή
Πελαγία
Πηνελόπη
Πολυξένη
Πωλίνα
Ρεβέκκα
Ροδούλα
Σαπφώ
Σμαράγδα
Σοφία
Σταυρούλα
Στέλλα
Στεργιανή
Στυλιανή
Σύλβια
Τατιάνα
Τερέζα
Τριανταφυλλιά
Φαίδρα
Φανή
Φιλομήλα
Φλωρεντία
Φρόσω
Χαρά
Χαρίκλεια
Χριστίνα
Χρυσάνθη
Χρυσούλα
Ψυχή
Ωραιάνθη
Ada
Adelaide
Agatha
Agnes
Alexandra
Alice
Alison
Amanda
Amelia
Amy
Andrea
Angela
Ann
Anna
Anne
Annabelle
Antonia
Ariana
Ashley
Audrey
Barbara
Beatrice
Brittany
Brooke
Camilla
Catherine
Charlotte
Chloe
Christina
Christine
Claire
Courtney
Cynthia
Daisy
Danielle
Daphne
Dawn
Deborah
Diana
Donna
Doris
Dorothy
Edith
Elizabeth
Ella
Emily
Emma
Esther
Eva
Evelyn
Faith
Fiona
Florence
Frances
Francesca
Gabrielle
Georgia
Geraldine
Gloria
Grace
Hannah
Harriet
Hazel
Heather
Helen
Henrietta
Hilary
Holly
Irene
Isabel
Isabella
Jacqueline
Jade
Jane
Janet
Jean
Jennifer
Jessica
Joan
Joanna
Jocelyn
Josephine
Joyce
Judith
Julia
Julie
June
Karen
Katherine
Kathleen
Kimberly
Laura
Lauren
Lillian
Lily
Linda
Lisa
Louise
Lucy
Lydia
Lynn
Madeline
Margaret
Maria
Martha
Mary
Megan
Melanie
Melissa
Michelle
Molly
Monica
Nancy
Natalie
Nicole
Nora
Olivia
Pamela
Patricia
Paula
Pearl
Peggy
Penelope
Philippa
Phoebe
Phyllis
Polly
Priscilla
Rachel
Rebecca
Rita
Roberta
Rose
Rosemary
Ruth
Samantha
Sandra
Sara
Sarah
Sharon
Sheila
Shirley
Stephanie
Susan
Susanna
Suzanne
Sylvia
Teresa
Tina
Tracy
Valerie
Vanessa
Vera
Veronica
Victoria
Violet
Virginia
Vivian
Wendy
Winifred
Ζηνοβία
Άννα
Έλλη
Έφη
Ήβη
Ίρις
Όλγα
