ج.م	جنيه مصري
د.ع	دينار عراقي
د.ك	دينار كويتي
أ.م	أوقية موريتانية
د.إ	درهم إماراتي
د.ب	دينار بحريني
د.ج	دينار جزائري
ج.س	جنيه سوداني
د.أ	دينار أردني
ر.س	ريال سعودي
ر ق	ريال قطري
ر.ع	ريال عماني
ل.ل	ليرة لبنانية
د.م	درهم مغربي
د.ل	دينار ليبي
د.ت	دينار تونسي
ل.س	ليرة سورية
ر.ي	ريال يمني
ف.ج	فرنك جيبوتي
ش.ص	شلن صومالي
