in
im
jahr
Jahr
jahre
Jahre
jahren
Jahren
jahres
Jahres
jh.
Jh.
im jahre	im jh.
im Jahre	im Jh.
im jh.
im Jh.
jahrgang
Jahrgang
jahrgänge
Jahrgänge
jahrgängen
Jahrgängen
jahrgangs
Jahrgangs
sommer
Sommer
winter
Winter
herbst
Herbst
frühling
Frühling
seit
vor
bis
nach
anfang
Anfang
ende
Ende
