A	ஏ
B	பி
C	சி
D	டி
E	ஈ
F	எஃப்
G	ஜி
H	எச்
I	ஐ
J	ஜெ
K	கே
L	எல்
M	எம்
N	என்
O	ஓ
P	பி
Q	கியூ
R	ஆர்
S	எஸ்
T	டி
U	யூ
V	வி
W	டபிள்யூ
X	எக்ஸ்
Y	வை
Z	இசட்
