A	エー
B	ビー
C	シー
D	ディー
E	イー
F	エフ
G	ジー
H	エイチ
I	アイ
J	ジェー
K	ケー
L	エル
M	エム
N	エヌ
O	オー
P	ピー
Q	キュー
R	アール
S	エス
T	ティー
U	ユー
V	ブイ
W	ダブリュー
X	エックス
Y	ワイ
Z	ゼット
