एक	१
दोन	२
तीन	३
चार	४
पाच	५
सहा	६
सात	७
आठ	८
नऊ	९
दहा	१०
अकरा	११
बारा	१२
तेरा	१३
चौदा	१४
पंधरा	१५
सोळा	१६
सतरा	१७
अठरा	१८
एकोणीस	१९
वीस	२०
एकवीस	२१
बावीस	२२
तेवीस	२३
चोवीस	२४
पंचवीस	२५
सव्वीस	२६
सत्तावीस	२७
अठ्ठावीस	२८
एकोणतीस	२९
तीस	३०
एकतीस	३१
बत्तीस	३२
तेहतीस	३३
चौतीस	३४
पस्तीस	३५
छत्तीस	३६
सदतीस	३७
अडतीस	३८
एकोणचाळीस	३९
चाळीस	४०
एकेचाळीस	४१
बेचाळीस	४२
त्रेचाळीस	४३
चव्वेचाळीस	४४
पंचेचाळीस	४५
सेहेचाळीस	४६
सत्तेचाळीस	४७
अठ्ठेचाळीस	४८
एकोणपन्नास	४९
पन्नास	५०
एकावन्न	५१
बावन्न	५२
त्रेपन्न	५३
चौपन्न	५४
पंचावन्न	५५
छप्पन	५६
सत्तावन्न	५७
अठ्ठावन्न	५८
एकोणसाठ	५९
साठ	६०
