s	सेकंड
hr	घंटा
h	घंटे
min	मिनट
doz	दर्जन
yr	साल
yr	वर्ष
hp	हॉर्सपॉवर
d	दिन
month	महीना
months	महीने
हफ़्ते हफ़्ते
