%	per cento
m	metri
mm	millimetri
cm	centimetri
km	chilometri
dm	decimetri
m²	metri quadrati
mm²	millimetri quadrati
cm²	centimetri quadrati
km²	chilometri quadrati
m³	metri cubi
mm³	millimetri cubi
cm³	centimetri cubi
km³	chilometri cubi
m2	metri quadri
mm2	millimetri quadrati
cm2	centimetri quadrati
km2	chilometri quadrati
m3	metri cubi
mm3	millimetri cubi
cm3	centimetri cubi
km3	chilometri cubi
μm	micrometri
nm	nanometri
pm	picometri
g	grammi
kg	chilogrammi
mg	milligrammi
hg	ettogrammi
µg	micro grammi
g²	grammi quadrati
kg²	chilogrammi quadrati
g³	grammi cubi
kg³	chilogrammi cubi
l	litri
ml	millilitri
cl	centilitri
dl	decilitri
l²	litri quadrati
cl²	centilitri quadrati
ml²	millilitri quadrati
dl²	decilitri quadrati
l³	litri cubi
ml³	millilitri cubi
cl³	centilitri cubi
dl³	decilitri cubi
A	ampere
K	kelvin
mol	moli
Hz	hertz
N	newton
Pa	pascal
J	joule
W	watt
V	volt
ω	ohm
db	deci bel
min	minuti
s	secondi
h	ore
d	giorni
rad	radianti
bar	bar
cal	calorie
kcal	chilo calorie
°C	grado celsius
°F	grado fahrenheit
