&	和
#	井号
@	艾特
§	分节符号
™	商标符号
®	注册商标符号
©	版权
_	下划线
%	百分比号
*	星号
+	加号
/	斜杠
=	等于号
^	扬抑符
|	竖线
~	波浪号
$	美元符号
￥	人民币符号
°	度
º	度
