美元
美金
欧元
英镑
加元
瑞士法郎
法郎
加拿大元
元
圆
韩元
墨西哥比索
比索
新西兰元
新加坡元
港元
港币
人民币
挪威克朗
克朗
韩元
土耳其里拉
里拉
印度卢比
卢比
俄罗斯卢布
卢布
巴西雷亚尔
雷亚尔
南非兰特
兰特
丹麦克朗
波兰兹罗提
罗提
新台币
台币
泰铢
马来西亚林吉特
印尼盾
盾
匈牙利福林
福林
捷克克朗
以色列新谢克尔
新谢克尔
智利比索
菲律宾披索
阿联酋迪拉姆
迪拉姆
哥伦比亚披索
马来西亚令吉
日元
