%க்கு	சதவீதத்துக்கு
%க்கும்	சதவீதத்துக்கும்
%ஆக	சதவீதமாக
%ஆல்	சதவீதத்தால்
%இல்	சதவீதத்தில்
%ல்	சதவீதத்தில்
%ஆவது	சதவீதமாவது
