ess	čuođin
com_pl	čuđiiguin
com_sg	čuđiin
gen_sg	čuođe
gen_pl	čuđiid
ill_pl	čuđiide
ill_sg	čuohtái
loc_sg	čuođis
nom_pl	čuođit
nom_sg	čuođi
acc_sg	čuođi
