ess	miljovdnan
com_pl	miljovnnaiguin
com_sg	miljovnnain
gen_sg	miljovnna
gen_pl	miljovnnaid
ill_pl	miljovnnaide
ill_sg	miljovdnii
loc_sg	miljovnnas
nom_pl	miljovnnat
nom_sg	miljovdna
acc_sg	miljovnna
