mrd	milliárd
millió
milliárd
billió
billiárd
trillió
trilliárd
kvadrillió
kvadrilliárd
kvintillió
kvintilliárd
szextillió
decillió
decilliárd
undecillió
undecilliárd
duodecillió
tridecillió
kvadecillió
kvintdecillió
szexdecillió
