अ
आ
इ
ई
उ
ऊ
ऋ
ए
ऐ
ओ
औ
ऑ
ा
ि
ी
ु
ू
ृ
े
ै
ो
ौ
ॉ
ं
ः
ँ
क
ख
ग
घ
ङ
च
छ
ज
झ
ञ
ट
ठ
ड
ढ
ण
त
थ
द
ध
न
प
फ
ब
भ
म
य
र
ल
व
श
ष
स
ह
क़
ख़
ग़
ज़
ड़
ढ़
फ़
य़
्
