.com	pont com
.org	pont org
.gov	pont gov
.uk	pont u k
.fr	pont f r
.net	pont net
.br	pont b r
.in	pont i n
.ru	pont r u
.de	pont d e
.it	pont i t
.es	pont e s
.mx	pont m x
.us	pont u s
.hu	pont hu
