Α	alfa
Β	béite
Γ	gáma
Δ	deilte
Ε	eipsealón
Ζ	zéite
Η	éite
Θ	téite
Ι	ióta
Κ	capa
Λ	lambda
Μ	mú
Ν	nú
Ξ	xí
Ο	oimeacrón
Π	pi
Ρ	ró
Σ	sigme
Τ	tó
Υ	upsalón
Φ	fí
Χ	chí
Ψ	sí
Ω	óimige
