α	alfa
β	béite
γ	gáma
δ	deilte
ε	eipsealón
ζ	zéite
η	éite
θ	téite
ι	ióta
κ	capa
λ	lambda
μ	mú
ν	nú
ξ	xí
ο	oimeacrón
π	pi
ρ	ró
σ	sigme
τ	tó
υ	upsalón
φ	fí
χ	chí
ψ	sí
ω	óimige
