Ibid.	på samma sida
adj.	adjektiv
bearb.	bearbetade
ev.	eventuell
ex.	exemplar
fr.	fru
fr.	fröken
kl.	klass
omarb.	omarbetade
omm	ekvivalent
red.	redaktörer
red.	redigerad
red.	revision
rev.	revision
sign.	signum
suppl.	supplement
tekn.	tekniska
tkr.	tusental kronor
tkronor	tusental kronor
trol.	trolovad
utg.	utgivare
övers.	översättare
