ackl	ackordslagen
actl	lagen om avtal och andra rättshandlingar på förmögenhetsrättens område
anll	anläggningslagen
anml	anmälningsskyldighetslagen
arkf	arkivförordningen
arkivl	arkivlagen
avbetkl	lagen om avbetalningsköp mellan näringsidkare
avbetln	lagen om avbetalningsköp mellan näringsidkare
avgf	avgiftsförordningen
avtl	avtalslagen
avtvillkl	lagen om avtalsvillkorslag i konsumentförhållanden
bverfg	bundesverfassungsgericht
bverfge	entscheidungen des bundenverfassungerichts
behl	behandlingslagen
behandll	lagen om behandling av häktade och anhållna med flera
betsl	betalningssäkringslagen
bou	bostadsutskottet
brb	brottsbalken
brb:s	brottsbalkens
brl	brottsskadelagen
brp	lagen om införande av brottsbalken
chl	checklagen
checkl	checklagen
csskr	centralstyrelsens skrivelse
dataf	dataförordningen
delgf	delgivningsförordningen
delgl	delgivningslagen
delgivnl	delgivningslagen
depl	depositionslagen
djsl	djurskyddslagen
dlgl	delgivningslagen
dsju	departementsserien, justitiedepartementet
dödnl	dödningslagen
egtullk	eg tull k
ekoml	lagen om elektronisk kommunikation
erfl	lagen om ersättningsfonder
ersl	ersättningslagen
exml	expansionsmedelslagen
expl	expropriationslagen
exprl	expropriationslagen
exprk	expropriationskungörelsen
f d	föredetta
fviii	faktor åtta
fiu	finansutskottet
fingeravtrycksf	fingeravtrycksförordningen
firmal	firmalagen
främjandel	främjandelagen
ftaxl	fastighetstaxeringslagen
fvl	förvaltningslagen
fvprl	förvaltningsprocesslagen
föu	försvarsutskottet
gutll	gamla utlänningslagen
gåvol	gåvolagen
hovr	hovrätten
hovr:n	hovrätten
hovr:ns	hovrättens
hskl	hälsoskyddslagen
indrivningsf	indrivningsförordningen
inkassol	inkassolagen
insiderl	insiderlagen
instrrps	förordning med instruktion för rps
instrrå	förordning med instruktion för riksåklagaren
ju-dep	justitiedepartementet
juu	justitieutskottet
jvsl	järnvägssäkerhetslagen
jvtrl	järnvägstrafiklagen
jäml	jämställdhetslagen
k.prop.	kunglig proposition
kkl	konsumentköplagen
kres	kunglig resolution
kskr	kunglig skrivelse
kamrr	kammarrätten
kamrr:s	kammarrättens
kförkl	kunglig förklaring
kkl	körkortslagen
kkrl	konsumentkreditlagen
komml	kommissionslagen
