sg_nom	la
sg_gen	li
sg_dat	li
sg_acc	lę
sg_ins	lą
sg_loc	li
sg_voc	lo
pl_nom	le
pl_gen	l
pl_dat	lom
pl_acc	li
pl_ins	lami
pl_loc	lach
pl_voc	le
