sg_nom	ta
sg_gen	ty
sg_dat	cie
sg_acc	tę
sg_ins	tą
sg_loc	cie
sg_voc	to
pl_nom	ty
pl_gen	t
pl_dat	tom
pl_acc	ty
pl_ins	tami
pl_loc	tach
pl_voc	ty
