sg_nom	st
sg_gen	sta
sg_dat	stowi
sg_acc	sta
sg_ins	stem
sg_loc	ście
sg_voc	ście
pl_nom	stowie
pl_gen	stów
pl_dat	stom
pl_acc	stów
pl_ins	stami
pl_loc	stach
pl_voc	stowie
