sg_nom	<eps>
sg_gen	a
sg_dat	owi
sg_acc	a
sg_ins	iem
sg_loc	u
sg_voc	u
pl_nom	owie
pl_gen	ów
pl_dat	om
pl_acc	ów
pl_ins	ami
pl_loc	ach
pl_voc	owie
