Α	alfa
Β	béta
Γ	gamma
Δ	delta
Ε	epszilon
Ζ	dzéta
Η	éta
Θ	théta
Ι	ióta
Κ	kappa
Λ	lambda
Μ	mű
Ν	nű
Ξ	kszí
Ο	omikron
Π	pí
Ρ	ró
Σ	szigma
Τ	tau
Υ	üpszilon
Φ	fí
Χ	khí
Ψ	pszí
Ω	ómega
