α	alfa
β	béta
γ	gamma
δ	delta
ε	epszilon
ζ	dzéta
η	éta
θ	théta
ι	ióta
κ	kappa
λ	lambda
μ	mű
ν	nű
ξ	kszí
ο	omikron
π	pí
ρ	ró
σ	szigma
τ	tau
υ	üpszilon
φ	fí
χ	khí
ψ	pszí
ω	ómega
