हाउस
प्लॉट
बूथ
अपार्टमेंट
फ्लैट
यूनिट
टावर
कॉम्प्लेक्स
मंजिल
फ्लोर
ब्लॉक
सेक्टर
फेज
रोड
सड़क
मार्ग
स्ट्रीट
गली
राजमार्ग
ड्राइव
डिस्ट्रिक्ट
बाईपास
हाइवे
पार्कवे
कॉलोनी
नगर
पार्क
एस्टेट
बोलवार्ड
मार्केट
सेंटर
पिन
गांव
पास
ब्रिगेड
नियर
स्क्वेर
मॉल
टॉवर
इंस्टीट्यूट
पिलर
मेट्रो
एवेन्यू
वेस्ट
सामने
पीछे
वीया
टाउन
लेन
चौक
चौराहा
बस्ती
मोहल्ला
विहार
एन्क्लेव
पुरम
शहर
जिला
ईस्ट
नॉर्थ
साउथ
प्लाज़ा
ब्रिज
स्टेशन
आर डी
अन्तर्गत
शॉप
क्रॉस
विलेज
हिल
असम
गोवा
महाराष्ट्र
दिल्ली
बैंगलोर
चेन्नई
मुंबई
कोलकाता
हैदराबाद
अहमदाबाद
पुणे
जयपुर
चंडीगढ़
लखनऊ
इलाहाबाद
