Ac
Ag
Al
Am
An
Ar
As
At
Au
B
Ba
Be
Bh
Bi
Bk
Br
Bu
Bz
C
Ca
Cd
Ce
Cf
Cl
Cm
Cn
Co
Cp
Cr
Cs
Cu
D
Db
Ds
Dy
En
Er
Es
Et
Eu
F
Fe
Fl
Fm
Fr
Ga
Gd
Ge
H
He
Hf
Hg
Ho
Hs
I
In
Ir
K
Kr
La
Li
Ln
Lr
Lu
Lv
M
Mc
Md
Me
Mg
Mn
Mo
Mt
N
Na
Nb
Nd
Ne
Nh
Ni
No
Np
O
Og
Os
P
Pa
Pb
Pd
Ph
Pm
Po
Pr
Pt
Pu
R
Ra
Rb
Re
Rf
Rg
Rh
Rn
Ru
S
Sb
Sc
Se
Sg
Si
Sm
Sn
Sr
T
Ta
Tb
Tc
Te
Th
Ti
Tl
Tm
Ts
U
V
W
X
Xe
Y
Yb
Zn
Zr
