hundred_suf_e	று
hundred_suf_p	ற்று
thousand_suf_e	ம்
thousand_suf_p	த்து
thousand_word_e	ஆயிரம்
thousand_word_p	ஆயிரத்து
lakh_word_e	லட்சம்
lakh_word_p	லட்சத்து
crore_word_e	கோடி
crore_word_p	கோடியே
