UTC	u t c
CST	c s t
CET	c e t
PST	p s t
EST	e s t
MDT	m d t
MST	m s t
PT	p t
ET	e t
MT	m t
GMT	g m t
ADT	hora de verano del atlántico
AMT	hora estándar del amazonas
ART	hora estándar de argentina
AST	hora estándar del atlántico
BOT	hora de bolivia
BRT	hora estándar de brasilia
CLST	hora de verano de chile
CLT	hora estándar de chile
COT	hora estándar de colombia
EAST	hora estándar de la isla de pascua
ECT	hora de ecuador
EEAST	hora de verano de la isla de pascua
EEST	hora de verano de europa oriental
EET	hora estándar de europa oriental
FKST	hora de verano de las malvinas
FNT	hora estándar de fernando de noronha
GALT	hora de galápagos
GFT	hora de la guayana francesa
GYT	hora de guyana
HKT	hora estándar de hong kong
JST	hora estándar de japón
KST	hora estándar de corea
PET	hora estándar de perú
PYST	hora de verano de paraguay
PYT	hora estándar de paraguay
SGT	hora de singapur
UYST	hora de verano de uruguay
UYT	hora de uruguay
VET	hora de venezuela
WEST	hora de verano de europa oriental
WET	hora estándar de europa oriental
