backslash	बैकवर्ड स्लैश	\\
forwardslash	फॉरवर्ड स्लैश	/
dot	डॉट	.
dot	DOT	.
point	प्वाइंट	.
hyphen	हाइफ़न	-
hyphen	हाइफन	-
underscore	अंडर स्कोर	_
at	एट
x	एक्स	x
space	स्पेस	<space>
openbracket	ओपन ब्रेकेट	(
closebracket	क्लोज़ ब्रेकेट	)
dollar	डॉलर	$
and	एंड	and
www	डब्ल्यू डब्ल्यू डब्ल्यू	www
v	वी	v
tilde	टिल्ड
tilde	~
hashtag	हैशटैग	#
colon	कोलन	:
https	एच टी टी पी एस कोलन फॉरवर्ड स्लैश फॉरवर्ड स्लैश	https://
http	एच टी टी पी कोलन फॉरवर्ड स्लैश फॉरवर्ड स्लैश	http://
litslash	/	/
lithyphen	-	-
