kg	킬로그램
g	그램
km	킬로미터
m	미터
cm	센티미터
mm	밀리미터
L	리터
l	리터
mL	밀리리터
ml	밀리리터
h	시간
s	초
N	뉴턴
W	와트
Hz	헤르츠
°	도
%	퍼센트
rpm	분당회전수
