&	and
#	hash
@	at
§	section
™	trademark
®	registered trademark
©	copyright
_	underscore
%	percent
*	asterisk
+	plus
/	slash
=	equal sign
^	circumflex
|	vertical bar
~	tilde
$	dollar
£	pound
€	euro
₩	won
¥	yen
°	degree
º	degree
¢	cent sign
¤	currency sign
¨	diaeresis
¬	not sign
¶	paragraph sign
˙	dot
।	danda
‼	double exclamation mark
⁄	fraction slash
⁉	exclamation question mark
⁻	superscript minus
№	numero sign
℗	sound recording copyright
℞	prescription
ℹ	information
←	left arrow
↑	up arrow
→	right arrow
↓	down arrow
↔	left right arrow
↕	up down arrow
↖	up left arrow
↗	up right arrow
↘	down right arrow
↙	down left arrow
↩	right arrow curving left
↪	left arrow curving right
⇐	left double arrow
⇑	up double arrow
⇒	right double arrow
⇓	down double arrow
⇔	left right double arrow
♪	musical note
♭	flat
♯	sharp
