jpg
jpeg
png
gif
pdf
doc
docx
xls
xlsx
ppt
pptx
csv
txt
html
xml
json
css
js
py
java
cpp
zip
rar
tar
mp3
mp4
avi
mkv
mov
wav
svg
apk
exe
sql
