%	في المائة
f	فهرنهايت
°C	درجة مئوية
°F	درجة فهرنهايت
كم	كيلومتر
كلم	كيلومتر
م	متر
سم	سنتيمتر
ملم	مليمتر
هم	هكتومتر
م²	متر مربع
كم²	كيلو متر مربع
مم²	مليمتر مربع
سم²	سنتيمتر مربع
