ս.թ.	սույն թվականի
մ.թ.ա.	մեր թվարկությունից առաջ
մ.թ.	մեր թվարկություն
Ք.ա.	քրիստոսից առաջ
Ք.հ.	քրիստոսից հետո
Ք.ծ.ա.	քրիստոսի ծնունդից առաջ
Ք.ծ.հ.	քրիստոսից ծնունդից հետո
