°F	ֆարենհայթ
°C	ցելսիուս
K	կելվին
կմ	կիլոմետր
կմ/ժ	կիլոմետր ժամ
մ	մետր
մ/ժ	մետր ժամ
սմ	սանտիմետր
մմ	միլիմետր
հա	հեկտար
մղն	մղոն
մ²	քառակուսի մետր
մ²	մետր քառակուսի
կմ²	քառակուսի կիլոմետր
կմ²	կիլոմետր քառակուսի
%	տոկոս
%	տոկոսադրույք
Հց	հերց
կՎտ	կիլովատտ
կՎտ	կիլո վատտ
կՎ/Ժ	կիլովատտ ժամ
կՎ/ժ	կիլո վատտ ժամ
Վտ/ժ	վատտ ժամ
Վտ	վատտ
ձ.ու.	ձիաուժ
մգ	միլիգրամ
կգ	կիլոգրամ
Վ	վոլտ
ժ	ժամ
վ	վայրկյան
ր	րոպե
մ³	խորանարդ մետր
գ	գրամ
տ	տոննա
մբ	մեգաբայթ
կբ	կիլոբայթ
գբ	գիգաբայթ
գբ	գեգաբայթ
տբ	տերաբայթ
տբ	տեռաբայթ
կՎ	կիլո վոլտ
մՎ	մեգա վոլտ
Ա	ամպեր
մԱ	միլի ամպեր
մվ	միլի վայրկյան
դմ	դեցիմետր
սմ²	քառակուսի սանտիմետր
սմ²	քառակուսի սանտիմետր
