cm	centímetro
g	gramo
h	hora
kg	kilo
kg	kilogramo
km	kilómetro
km²	kilómetro cuadrado
l	litro
m	metro
m²	metro cuadrado
m³	metro cúbico
mph	milla por hora
ml	mililitro
mm	milímetro
ms	milisegundo
min	minuto
%	por ciento
%	porciento
s	segundo
° C	grado centígrado
° F	grado farenheit
° K	grado kelvin
mph	milla por hora
kph	kilómetro por hora
gsm	gramo por metro cuadrado
gsm	g s m
gsm	ge ese eme
psi	p s i
psi	pe ese i
mb	megabit
MB	megabyte
gb	gigabit
GB	gigabyte
TB	terabyte
PB	petabyte
